codigo;nome
0284;KAHYANA
0285;KAMAKA
0286;KAMBIWA-PIPIPA
0287;KARIJO
0288;KATUKINA DO ACRE
0289;KRENYE
0290;KUNTANAWA
0291;LAIANA
0292;LAKONDE
0293;MANAO
0294;MEBENGOKRE KAYAPO
0295;MENKRANGNOTI
0296;MENTUKTIRE
0297;NINAM
0298;PAKAA NOVA
0299;PANKAIUKA
0300;PANKARA DA ALDEIA SERROTE DOS CAMPOS
0301;PAPAVO
0302;PIRI-PIRI
0303;POVO DO XINANE
0304;PURI
0305;SALAMAY
0306;SAPARA
0307;SIKIYANA
0308;TAMOIO
0309;TAPIUNS
0310;TENETEHARA
0311;TUKUNA
0312;TUPI-GUARANI
0313;TUPINAMBARANA
0314;URUCU
0315;WARAO
0316;WARIPI
0317;YAIPIYANA
0318;YANOMAN
0319;YUDJA
0320;YUHUPDEH
0321;MUNDURUKU CARAPRETA
0322;ARIKAPU
0323;ARUA
0324;ISSE
0326;KAMBA
0327;KAXINAWA
0328;KATXUYANA
0329;KAYAPO
0330;TAPUIA-KARIRI
0331;CURUA
0332;MARAGUA
0333;SURUI DE RONDONIA
0334;PIRIPIKURA
X265;AHANENAWA
X266;AICABA
X267;AIKANA-KWASA
X269;ALANTESU
X271;AMAWAKA
X272;ANACE
X276;ARARA APOLIMA
X278;ARIPUANA
X279;ASSURINI
X280;AWUARA
X281;BORBA
X282;CABIXI
X283;CAMARARE
X284;CAMASURI
X285;CARA PRETA
X286;CHARRUA
X287;CUJUBIM
X288;DAW
X289;GAVIAO
X290;GUARANI
X291;HALANTESU
X292;HALOTESU
X293;HENGATU
X294;HIXKARYANA
X295;HUPDE
X296;HUPDES
X297;IAUANAUA
X298;IAUARETE ACU
X299;IKPENG
X300;INAMBU
X301;INHABARANA
X302;JAVAE
X303;JENIPAPO
X304;JENIPAPO-KANINDE
X305;JIAHOI
X306;KAIOWA
X307;KAMPA
X308;KANELA
X309;KARAFAWYANA
X310;KARARAO
X311;KARUBO
X312;KASSUPA
X313;KATITHAULU
X314;KATOKIN
X315;KATUKINA PANO
X316;KATUKINA PEDA DJAPA
X317;KATUKINA SHANENAUWA
X318;KAXAGO
X319;KAYABI
X320;KINA
X321;KIRIRI-BARRA
X322;KITHAULU
X323;KOIAIA
X324;KOIUPANKA
X325;KONTANAWA
